Time;pH1_001_PV;O2_flow_001.PV;DO1_001.PV;CO2_flow_001.PV;BioR_temp_001.PV;Air_flow_001.PV;BioR_stirring_001.SP;BioOUT_pump_001.SP;BioIN_pump_001.SP;Base_pump_001.SP
22/09/2024 00:01:07.444;;;94;;;;;;;
22/09/2024 00:01:46.579;;;;21.1;;;;;;
22/09/2024 00:07:18.266;;;94;;;;;;;
22/09/2024 00:28:05.108;;;;;37.1;;;;;
22/09/2024 00:46:33.158;;;93;;;;;;;
22/09/2024 00:47:55.799;7.39;;;;;180;;;;
22/09/2024 00:52:11.992;;;;24.4;;;;;;
22/09/2024 00:53:33.395;;;;14.2;;;;;;
22/09/2024 00:55:50.477;;;;;36.9;;;;;
22/09/2024 00:56:37.483;;;;19.9;;;;;;
22/09/2024 00:58:29.997;;;93;;;;;;;
22/09/2024 00:59:07.120;;;;;37.0;;;;;
22/09/2024 01:00:09.684;;;;;37.1;;;;;
22/09/2024 01:00:17.992;;;94;;;;;;;
22/09/2024 01:03:57.127;;;;20.1;;;;;;
22/09/2024 01:16:02.447;;;94;;;;;;;
22/09/2024 01:16:11.829;;;;;37.2;;;;;
22/09/2024 01:17:19.917;;;;15.4;;;;;;
22/09/2024 01:47:55.872;7.39;;;;;180;;;;
22/09/2024 01:57:54.020;;;;28.7;;;;;;
22/09/2024 01:57:56.219;;;;20.0;;;;;;
22/09/2024 01:59:44.455;;;;;36.9;;;;;
22/09/2024 01:59:47.227;;;;;37.0;;;;;
22/09/2024 01:59:51.827;;;93;;;;;;;
22/09/2024 02:00:19.147;;;;;36.9;;;;;
22/09/2024 02:01:38.047;;;93;;;;;;;
22/09/2024 02:09:06.274;;;;24.6;;;;;;
22/09/2024 02:09:06.677;;;;28.5;;;;;;
22/09/2024 02:18:02.259;;;94;;;;;;;
22/09/2024 02:26:21.169;;;;;36.9;;;;;
22/09/2024 02:40:00.734;;;;12.1;;;;;;
22/09/2024 02:47:35.052;;;;;37.2;;;;;
22/09/2024 02:47:55.936;7.39;;;;;180;;;;
22/09/2024 02:53:15.374;;;93;;;;;;;
22/09/2024 02:55:58.351;;;93;;;;;;;
22/09/2024 02:59:18.853;;;;;37.0;;;;;
22/09/2024 02:59:28.041;;;;20.0;;;;;;
22/09/2024 03:00:08.882;;;93;;;;;;;
22/09/2024 03:00:32.187;;;;;37.1;;;;;
22/09/2024 03:03:46.296;;;;19.5;;;;;;
22/09/2024 03:05:52.296;;;94;;;;;;;
22/09/2024 03:15:08.800;;;;;36.8;;;;;
22/09/2024 03:23:10.834;;;93;;;;;;;
22/09/2024 03:32:50.757;;;;;37.2;;;;;
22/09/2024 03:47:55.943;7.39;;;;;180;;;;
22/09/2024 03:55:33.089;;;;31.6;;;;;;
22/09/2024 03:55:33.508;;;;14.4;;;;;;
22/09/2024 03:57:07.108;;;93;;;;;;;
22/09/2024 03:59:47.776;;;;19.9;;;;;;
22/09/2024 03:59:55.707;;;;;37.1;;;;;
22/09/2024 04:00:04.304;;;;;37.0;;;;;
22/09/2024 04:00:44.021;;;;20.0;;;;;;
22/09/2024 04:01:06.992;;;93;;;;;;;
22/09/2024 04:05:51.415;;;93;;;;;;;
22/09/2024 04:09:32.344;;;93;;;;;;;
22/09/2024 04:09:34.905;;;;;36.9;;;;;
22/09/2024 04:12:21.602;;;;28.4;;;;;;
22/09/2024 04:12:21.953;;;;16.1;;;;;;
22/09/2024 04:47:55.478;7.39;;;20.0;;180;;;;
